City,Address,Asking Price,asking_price_per_m2,status,type,year_built,living_area,total_area,URL
S Gravenmoer,Hoefslag 5,€ 469.000 k.k.,,Verkocht,"Eengezinswoning, 2-onder-1-kapwoning",1975,175 m²,343 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42316080-hoefslag-5/
S Gravenmoer,Emmalaan 54,€ 339.000 k.k.,,Verkocht,"Eengezinswoning, tussenwoning",1932,79 m²,243 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42304086-emmalaan-54/
S Gravenmoer,Bieselaar 21,€ 445.000 k.k.,,Verkocht,"Eengezinswoning, geschakelde woning",1989,122 m²,293 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42301985-bieselaar-21/
S Gravenmoer,Havenkade 34,€ 745.000 k.k.,,Verkocht,"Eengezinswoning, vrijstaande woning",2014,211 m²,486 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42245918-havenkade-34/
S Gravenmoer,Julianalaan 1,€ 620.000 k.k.,,Verkocht,"Eengezinswoning, vrijstaande woning",1973,160 m²,830 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42245634-julianalaan-1/
S Gravenmoer,Stevenshof 36,€ 599.000 k.k.,,Verkocht,"Eengezinswoning, vrijstaande woning",1978,180 m²,470 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42217685-stevenshof-36/
S Gravenmoer,Molendijk 40,€ 419.000 k.k.,,Verkocht,"Eengezinswoning, vrijstaande woning",1860,109 m²,240 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42266461-molendijk-40/
S Gravenmoer,Vaartweg 68 a,€ 645.000 k.k.,,Verkocht,"Eengezinswoning, vrijstaande woning",1971,163 m²,2.226 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42146583-vaartweg-68-a/
S Gravenmoer,Dokter Koekkoeklaan 46,€ 269.000 k.k.,,Verkocht,"Eengezinswoning, tussenwoning",1984,113 m²,129 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42170415-dokter-koekkoeklaan-46/
S Gravenmoer,Wielstraat 21,€ 735.000 k.k.,,Verkocht,"Eengezinswoning, vrijstaande woning",1979,162 m²,1.300 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42179103-wielstraat-21/
S Gravenmoer,Kerkdijk 6 b,€ 349.000 k.k.,,Verkocht,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",1994,96 m²,200 m²,https://www.funda.nl/koop/s-gravenmoer/huis-42040467-kerkdijk-6-b/
